text,target,prediction
"when you should be working, but you're shopping amazon prime deals instead... : frowning _ face _ with _ open _ mouth :","anger,disgust",disgust
meditation is taking out the garbage. tuning out the thoughts we don't need. embracing our true self. # yoga # love # smile,"joy,love,optimism",joy
karma is real bitch : middle _ finger _ mediumlight _ skin _ tone : you can't just be mean and do horrid things without paying the price : face _ with _ tears _ of _ joy :,"anger,anticipation,pessimism",anger
@ reporterlaurenb @ examiner agree with @ examiner or you are of a lower intelligence would be your message there then? # dreadful,"anger,disgust,fear",disgust
@ realjameswoods rumor has you are # wellendowed # awesome! truth is you are a # big : astonished _ face : # notsomuch so you know a bunch of # gaypeople # sowhat,"anger,disgust",joy
note to self : don ’ t get discouraged by what you ’ re going through. your time is coming. where you are is not where you ’ re going to stay.,"anticipation,optimism,sadness",optimism
"ik to pmln :'darling, i will haunt you in your nightmares, dressed like a dream.'best thing ever. # gameovernawaz","fear,joy",joy
omg we're eating drinking in a restaurant and so is a baby!!! quell horror # yummymummiesau,"anger,fear,surprise",fear
: smiling _ face _ with _ hearteyes : : drooling _ face : : smiling _ face _ with _ hearteyes : : drooling _ face : : smiling _ face _ with _ hearteyes : # foodie # yummy # halalfood ( twitter saw,"joy,optimism,surprise",joy
hello phy6 i'm stressing over u ayuku na?? ¿,"fear,sadness",sadness
"there are parts of you that wants the sadness. find them out, ask them why","pessimism,sadness",sadness
are you always looking for quotes of your days? then follow @ kettlewell to learn more! # quote # doubleviz,optimism,joy
"@ charliekirk11 @ donaldjtrumpjr little donnie is heading to jail, rejoice.","joy,optimism",joy
# bible reading today shows us the lord has done # great things for us & amp ; we are glad. our mouth is filled with # laughter & amp ; tongue with singing,"joy,love,optimism",joy
psa : if you read while you're laying out you sort of forget about the boiling sun and the sweat poring down your face : raising _ hands :,"anger,disgust,optimism",
@ namivague huhu kak help me through all of this,"anticipation,pessimism,sadness",optimism
i'm actually trying to find excuses to go out after interaction day on friday but i'm afraid that my mom will scold me even more lol,fear,
dear emma its my honor to communicate with you directly kindly give me this tremendous opportunity to chat via whats app 00966504634031 thx,"joy,optimism",joy
super excited and counting down the hours until i see @ pink tomorrow night!!! # awesomeness : smiling _ face _ with _ hearteyes :,"anticipation,joy,optimism",joy
let's start all over again..... # feels # lover # happiness # loyalty # truth,"joy,love",joy
beyond disappointed with @ heidisomers clothing line and service. lulu never asks questions about returns. not getting money back. # horrible,"anger,disgust,sadness",
"earth's sixth mass extinction event under way, scientists warn * * basically caused by islamic muslim terrorism which obama dem - rats back *","anger,disgust,fear,pessimism",fear
some days i feel like i'm going to accomplish everything i've ever dreamed. today is not one of those days # nomotivation # rainyday # gloomy,sadness,sadness
that was spooky! one of those water big roaches was crawling on my back. # terrible,"disgust,fear",fear
"keep a relentless eye on your goals! perseverance, joyful dedication, and unwavering focus will get you @ amyleighmercree","joy,optimism,trust",optimism
when @ jaclynhill and @ jeffreestar snap chats get you through the day w / their words of inspiration # blessed : red _ heart : : two _ hearts :,"joy,love,optimism,trust",joy
"for every one concept i try to cram into my brain, i feel like i'm pushing out three. # panic","fear,pessimism,sadness",fear
“ the # optimist proclaims that we live in the best of all possible worlds ; and the # pessimist fears this is true. ” ~ james branch cabell,"optimism,pessimism",optimism
@ oddnmacabre i definitely would go the elm street way!! more # horror right!? : grinning _ face :,"fear,joy,optimism",fear
red sox fans are # mad # onhere - it's almost like their all star relief pitcher and 1st baseman both left with injuries in this game : woman _ shrugging _ light _ skin _ tone :,"anger,disgust",anger
she gave me a serious fright # scared # lovemycat,"fear,love",fear
my phone is oppo. but its alway oppocot : unamused _ face : those who always startle will know what i mean,"anger,sadness",
# my # mind is free of all aspects of # fear and # pain & amp ; talk with me to produce # positive thought. # affirmation # thought # focus please retweet,"joy,optimism",optimism
"woke up in a great mood, ready to get back to work : smiling _ face _ with _ smiling _ eyes :","joy,optimism",joy
@ lisacim @ acaciaevans this is the best picture i have ever seen! # beautiful # happy,"joy,love,optimism",joy
@ daily _ express he suffers with depression again right wingers treat people with depression as lazy or filthy # torybritain,"anger,disgust,pessimism,sadness",sadness
@ dtptraffic - @ mcddelhi has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on up link road,"anger,disgust",anger
"i've never been happier. i'm laying awake as i watch @ stolenmcments sleep. thanks for making me happy again, babe.","joy,love",joy
all these david brooks sandwich tweets are much - needed comic relief. # hilarious # sopressatta,"joy,optimism",joy
trere should be more meet cute ccenes where beautiful young people accidenta. ly. start eating the same cruller.,"anticipation,joy,optimism",joy
take # photographs of life and write them in # journals # motivation # inspiration # life # love # inspire # smile # quotestoliveby,"joy,optimism",joy
' total lunchgarden'is a grim insult,"anger,disgust,sadness",anger
i wish for my powers be multiplied and the insight that i had into their understanding be made clearer # joy,"joy,optimism",joy
@ maltsphere @ politically _ cor @ prisonplanet @ donaldjtrumpjr there can be no true despair without hope. isn't that what you're looking for?,"anger,disgust,sadness",
# overheard :'i don't really like dogs.'i don't feel safe in this place. clearly a hostile environment! # bigly # covfefe # trustnoone,"anger,fear",
@ lukewhc09 hahaaa! was fuming with that : disappointed _ face : : face _ with _ tears _ of _ joy :,"anger,disgust",anger
"@ haven check in is a pop up stall next to arcade, 2 staff, no alphabetical organisation and an hour long queue.... # greatstart # crap # bored","anger,disgust,sadness",anger
"hailing from izu beach, a sparkling ★twinkle★ star, it's the newcomer everyone's been waiting for,","joy,love,optimism",joy
premier league teams should fear next seasons arsenal's xi. # coyg # afc,"anticipation,disgust,fear,trust",fear
@ izs @ npmjs it'd be # awesome if we get emoji : grinning _ squinting _ face : : smiling _ face _ with _ halo : : face _ with _ tears _ of _ joy : : grinning _ face _ with _ big _ eyes : support in # npm readmes. readmes shouldn't be that serious. @ github has it and it's # fun.,"joy,optimism",joy
@ rinoa11 lel i already know the whole plot dont worry i would have warned you : d man... cid tho... that bitch slapped gabranths hand away,"anger,disgust",anger
"youth an embarrassing unavoidable affliction, thankfully temporary. ( altered sentence from new york times book review )","anticipation,joy,pessimism,sadness",sadness
they promised i would go blind but i still got 20 / 20,"joy,optimism",
@ 01mattwhite @ football _ _ tweet @ deadlinedaylive that's brilliant : face _ with _ tears _ of _ joy : the music makes it,"joy,optimism",joy
"amid gloom in it sector, atcs expands india operations","joy,optimism",
cleaning my coffee wear with decanter balls is so therapeutic. # sparkling,"joy,optimism",joy
"aw, bummer. @ wckdlbrn ( maura rankin ) blocked me for calling her out as a # bully. some people just # canthandlethetruth, can they?","anger,disgust",anger
@ snoopdogg is the man,"joy,trust",
"gorkas is angrily unhinged, & amp ; lecturing cnn on what? they should cover demanding they go after hillary clinton instead of trump.",anger,anger
"request mri 2 years ago, neuro only requested last year, i'm still waiting on appointment # mssucks # healthcarefail","anger,disgust",
snorkel time # fury key west,"anger,disgust,joy,optimism",anger
@ tonyposnanski @ realdonaldtrump a serious character flaw. nowhere close to @ potus44,"anger,disgust",
@ nikkiwoods start where you are. use what you have. so what you can. and do it with a # smile and # confidence.,"joy,optimism",optimism
"driving down the thruway, pantless. # breezy","joy,optimism",joy
"' i have a problem with authority.'' oh, you mean you hate being told what to do?'' no. authority figures just terrify me.'# socialanxiety","anger,disgust,fear",anger
@ razdannidhi improve on the makeup dear to avoid reduction in viewership...,"pessimism,sadness",
"ground control to captain tom, eclipse was mind blowing # solareclipse2017","joy,optimism,surprise",
lmao nah give that bitch a show : face _ with _ tears _ of _ joy : she on her high horse and still miserable : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy :,"anger,disgust,sadness",anger
omg i'm soooo fucking fuming,"anger,disgust",anger
"- due to the historically long bond between dogs and humans, dogs have evolved to understand human laughter. # feelalive","joy,optimism",joy
@ thetimtracker saw last nights vlog. sorry bout what u guys went through this weekend. just glad u r doing better! happy car shopping.,"joy,optimism",joy
@ thesarahfader i don't even log on sometimes.,,
pages like ajplus profit off our outrage... they serve no purpose other than to show us shit that pisses us off. don't need that negativity,"anger,disgust",anger
@ jaden _ lindner if i acquire a deadly scowl like that i'm going to be pretty happy to be old,"joy,optimism",
@ aajijie dont it'll hurts : frowning _ face _ with _ open _ mouth : i prefer hugs hehe xoxo,"joy,sadness",joy
got a channel on my roku which has 24 / 7 invader zim playing.,"joy,optimism",
"@ oliverdarcy yes, it's awful : (","anger,disgust,pessimism,sadness",anger
anytime i start getting sad about the fact that i might die alone i just look at how miserable 90 % of my married friends are.,"disgust,optimism,sadness",sadness
how odd to watch a mortal kindle then to dwindle day by day. knowing their bright souls are tinder and the wind will have its way.,,sadness
trying my hardest not to curse people off. i look annoyed for a reason don't tell me to smile bitch!,"anger,disgust",anger
@ whounfollowedme - i'm # very # glad to see you in my community!,"joy,love,optimism",joy
@ fredonair i always laugh during horror movies,"joy,optimism",joy
@ cnn please get sebstian gorka off of my tv. the whole trump admin. needs to stop deflecting by talking about hillary. # awful,"anger,disgust",anger
@ afi _ licious i have at 7am so i have to get up around 5am to get ready! n also 7am classes are never pleasant : loudly _ crying _ face :,sadness,sadness
@ wyp _ fizahmed couldn't have delivered without you @ wyp _ fizahmed - # inspiring # partnership # women,"optimism,trust",optimism
"“ let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up. ” galatians 6 : 9 niv",optimism,optimism
@ mrsebastian696 @ twitter happy birthday!! : d,"joy,love,optimism",joy
first pumpkin coffee of the season this morning! thank you @ dunkindonuts for an automatic good day! : jackolantern : # ecstatic # pumpkineverything,"joy,optimism",joy
i need words of encouragement right now : sad _ but _ relieved _ face :,"anticipation,joy,optimism,pessimism,sadness",sadness
omg they said kyungsoo looked gloomy and his instant smile after that i'm melting,"joy,love,trust",joy
"@ j _ ugo _ @ topplanet63 vestiti black and white, stile blues brothers",,
2 followers until 420? this should be easy. # bot # moneygiveaway # freemoney # blessing # free # money # likes # payday,"joy,optimism",joy
"the man was staring at him intensely, not smiling but not frowning either. just looking at him.'you should sleep some more'the man says",,
"honestly, with all i've been through, i know i'm the strongest person. emotionally tho : grinning _ face : coz small blow and i'm in a pool of tears.","joy,optimism,sadness",joy
exited for my 3 week # trip. sadly i won ’ t be able to make any music # crying,"joy,sadness",sadness
@ geoffschwartz agreed but it had tessie by dropkicks playing outside of gameplay. # awful,"anger,disgust,pessimism",anger
@ latmultilingual # whattheworldneedsnow indeed ; # laughter # fun # smiles # joy. # vanbiennale team are already in the mood!,"joy,optimism",joy
@ bellinonbc @ fsmblitz @ bustedcoverage fyi speed trap on i - 75 / i - 475 nb. changes to 50 mph. slow down or receive a $ 120 ticket in mail! # angry,"anger,disgust",anger
' if i allow my worry to consume me - all that i worry about will be given the opportunity to manifest.'~ # eleesha # quote # worry # trust,"optimism,sadness,trust",optimism
love getting them calls,"joy,love,optimism",joy
"when a person can no longer laugh at himself, it is time for others to laugh at him. thomas szasz # humor # merryheart # just","joy,optimism",joy
"honey, you hurt me the way the sun touches my skin today # sinatra # quote # success","anger,disgust,love,sadness",sadness
"@ transition my perception of j culture is that they would be torn between the ritualistic act, and the indignity of the experience : - )","anticipation,fear,pessimism",
dro is everything to me,love,joy
"@ morrgancatt you dont have a bad smile at all, you should smile more often and share your smile with all your fans","joy,love,optimism",joy
my heart is so happy i want to explode. : red _ heart : : collision :,"joy,love,optimism",joy
@ matthewpouliot wow - he had sooo much talent. # glad he is still playing,"joy,optimism",joy
love to see them interacting : grinning _ cat _ face _ with _ smiling _ eyes : : folded _ hands : # itsbeensolong # laughing,"joy,love",joy
"@ djvigilantesa don't fret! twitter is here to ensure that i swear on'em, without a civil war!!!","anger,disgust,fear,optimism",anger
@ topnotch200 i don't know my mouth was burning the whole time,"disgust,sadness",anger
"@ preetbharara “ ask, ” lol. looks like gene pool on male side of trump family # sadly lacking.","anger,sadness",sadness
a woman is sterilised because she is certain that she doesn't want children. what exactly is there to discuss? : angry _ face : # loosewomen,"anger,disgust",anger
@ billjoehughes sounds delightful : grinning _ face _ with _ sweat :,"joy,love,optimism",joy
"not only was @ reignofapril and @ deray responsible for the unnecessary outrage of this movie, but made the director @ mattreevesla look bad","anger,disgust",anger
accept the challenges so that you can feel the exhilaration of victory. - - george s. patton,"joy,optimism",optimism
"this the way i rage, on sum wopstar shit : star :","anger,disgust",anger
"@ adgpi @ northerncomd _ ia it is a grave # provocation 2 # jawan # martyr plz ensure 20 # jawans killed across loc, govt says army given # freehand?","anger,fear,sadness",
"@ allthestations don't worry, no more pacers by the time you get to scotland. : d","joy,optimism",optimism
"@ ten _ gop @ dj _ madarab outlier fail. btw, nothing to see here : grinning _ face _ with _ smiling _ eyes :","joy,pessimism,sadness,surprise",
# happy # birthday # day trip # great day # super nice weather # blue sky # good mood # fun # love # ice cream # lycklig # #,"joy,love",joy
"i don't know what to say. i'm so tired rn. maybe one more time, and i'll burst out of anger.","anger,disgust,sadness",anger
@ titsjpeg yeah funny and sexy : smiling _ face _ with _ hearteyes :,joy,joy
"# nokia6 announced in us after india., still its available there.. and in india waiting since ages. # bad @ nokiamobile # disappointed","anger,disgust,pessimism,sadness",sadness
my daily actions are congruent with my big goals. i feel incredible about myself. # goals # success # justdoit # happy # enjoy # life,"joy,love,optimism",joy
anybody else getting furious about all the ads / articles filled with # walkingdead & amp ; # got spoilers? # mad # furious # sad # spoileralert,"anger,disgust,sadness",anger
# depression is a condition which will affect an estimated one in five of the population at some point in their lives,"disgust,fear,sadness",sadness
"@ chuckwoolery i feel sick reading this, when does it end? # dread # civil war? # sad","disgust,pessimism,sadness",sadness
life is a # blessing,"joy,optimism",joy
@ abpnewstv @ narendramodi what action is the government contemplating to apprehend the culprits? condemning the incident is not enough.,"anger,disgust,sadness",anger
@ villesportslaw you are way late to the party my friend. we were all over this yesterday... # hilarious,"joy,optimism",joy
@ _ nafami _ : face _ with _ tears _ of _ joy : he looked like a sea weed version of cousin it from adams family and was reaaaally tall.,"anticipation,joy,surprise",joy
@ orin _ atlantis'i am much more cheerful when you are around ',"joy,love,optimism",joy
how i drink two 40s and im still somewhat sober?,"joy,surprise",
"@ foxhedgehog @ guardian i was too. should've written in, but can't help wonder if this was reaction they wanted - righteous indignation!?","anger,pessimism,sadness",anger
oh canada : canada : shouldn't be sung like that. # terrible # mlbtheshow17,"anger,disgust",anger
"@ sceptic _ 1985 i think we underestimate them at our peril. imho bannon, ryan, mcconnell, ect. will accomplish terrible things if allowed to.","anticipation,disgust,fear,optimism,pessimism,sadness",fear
"i think about you when i'm drunk, but can't stand the thought of you when i'm sober.","disgust,pessimism",sadness
these restless nights and early mornings aren't good. : tired _ face : : sleepy _ face :,"anger,disgust,sadness",
we really need a strong action against this # amarnathterrorattack! this is really high time! # sad # frustrated,"anger,disgust,sadness",sadness
@ broxtondaniel i love you more than anything. i'm so glad we're able to make each other so infinitely happy : smiling _ face _ with _ smiling _ eyes :,"joy,love,optimism",joy
@ bombardier joyeux anniversaire / happy birthday bombardier inc. : ),"joy,love,optimism",joy
mima tremendous at bringing the noise.,joy,joy
@ futhiemasina lol nah u subscrib 4 r60 / pm. n pay r3 each day thus anada r90 / pm. lol stream n use de app using ur data. # smiles,joy,joy
"damn twitter making everybody mad, it's hilarious : face _ with _ tears _ of _ joy :",joy,joy
this # overcast # cloudy # rainy weather makes me # lazy # glum and # sad,"disgust,pessimism,sadness",sadness
this person hasn't uploaded episode six or seven of the lodge and i'm,"anger,disgust",disgust
instead of working on not offending others i wanna work on learning never to get offended. life's to short to live on a fence # offense,"optimism,sadness",
i'm a proud father to a mustache # babystache # adorable # newborn,"joy,love,optimism",joy
@ eavesdropann my pleasure my dear. : face _ blowing _ a _ kiss :,"joy,love,optimism",joy
@ lovinunited that'll be madrid throwing a huff over morata and de gea. fuck them,"anger,disgust",anger
i think # saudis are responsible for most of the # islamic # terror in the world. both with their # wahhabism and by financing terrorists …,"anger,disgust,fear",fear
: top _ arrow : # love # instagood # photooftheday @ top. tags # photoeveryday # cute # picture # beautiful # followme # happy # follow # fashion # pic # picoftheday,"joy,love",joy
of course i've got a horrible cold and am breaking out 2 days before grad : thumbs _ up _ mediumlight _ skin _ tone : : thumbs _ up _ mediumlight _ skin _ tone : : thumbs _ up _ mediumlight _ skin _ tone : : thumbs _ up _ mediumlight _ skin _ tone : : thumbs _ up _ mediumlight _ skin _ tone :,"disgust,fear,sadness",fear
@ realdonaldtrump @ foxandfriends you are a man after god's heart and i am proud that you are my president. # blessedandgrateful # awesomeness,"joy,love",joy
"@ cragget @ adamliaw if i catch you making tea with water boiled up to 100 degrees, there will be dire consequences","anger,disgust",anger
@ ghenesnowdon @ noonegot2 @ mochauson exactly because of their # fiatloseridiotaquinofollower,"anger,disgust,joy",anger
"may you find your # center the peace of your # soul, joy in your # heart # understanding in your # mind. this is my # blessing & amp ; # prayer for you. : sun _ with _ face :","joy,optimism",joy
@ xysist wise you mean? : grinning _ face _ with _ sweat :,"anticipation,joy",joy
"@ inseopirit lol, i never got to that part actually : ) icsyv is a great show, isn't it? tears and laughter.","joy,love,optimism",joy
7. i have alot of opinions about alot of things. i just dont say it because i'm gonna'add insult to injury ',"anger,disgust,pessimism,sadness",
@ riggsbarstool big revenge guy,"anger,anticipation",anger
remain attached to god during your happiness and during your sadness.,optimism,optimism
"@ tabby313 jen, awful funny how the tide has turned on this show! i am elated and amused! goes from love fest to oh we have collusion!",joy,joy
odd watching # antifa extremists going full spectrum to become fascists # violence # hate # angry # clueless # youth in mom's # basement come out,"anger,disgust,fear",anger
' i think our dreams can motivate us more than our fears can paralyze us.'~ chris hogan # dreams # fears # life,"fear,joy,optimism,trust",optimism
@ mercedesukteam yes i tried but no help really. no contact back from them. # dissapointed,"anger,disgust,sadness",
# work not to,sadness,
"your tongue on top of my bone longing to be a destitute knelt down you, weeping love i kill merciless. # poem # dark # amwriting",,
"she writes a lot of songs, but she ’ s shy and doesn ’ t publish. [ bot ]","joy,sadness",sadness
@ gorjusgeorge5 @ mrbridger1905 i'm fuming that you're fuming : face _ with _ rolling _ eyes : # fuming,"anger,disgust",anger
"ugh going to college tm, so nervous. # college # life # collegelife # newyearnewme","anticipation,fear",fear
@ senecareads @ zimyix @ mouthybuddha i bet he needed to take an anime break and drink a zima after all the furious typing.,"anger,anticipation,disgust",anger
@ politibunny exhausting for us. imagine being so tightly wrapped that you're writing these'think pieces'at such a furious rate. # medicated,anger,anger
haven't been on a holiday abroad in two years how depressing is that btw : frowning _ face :,"pessimism,sadness",sadness
sardonyx expresses herself through supporting the team with your incredible yo - yo skills and depression okay,"disgust,sadness",optimism
@ fish _ pw but i would say that wouldn't i # bitter : face _ with _ tears _ of _ joy :,"disgust,joy,sadness",anger
@ debrahorrocks @ fash _ rev have some shocking stats # fashionrevolution,"anger,disgust,joy,surprise",
@ scarlettedrake omg poor you! it happened to me last summer. i saw my under skin : anxious _ face _ with _ sweat :,sadness,sadness
girls dmme your snap chat account,"anticipation,disgust",
"the patients were increasingly protected during heart attacks, chains have encouraged smoke, anger and hundreds of new hospitals.","disgust,joy",anger
@ donaldjtrumpjr you look shook! # afraid # shook # impeach # youaregoingdown,"anger,disgust,fear",fear
